service_id,date,exception_type
3,20140105,2
4,20140105,2
3997,20140105,1
1,20131220,2
2,20131220,2
1,20140103,2
2,20140103,2
4006,20131220,1
4006,20140103,1
1,20131223,2
1,20131230,2
4007,20131223,1
4007,20131230,1
1,20131219,2
1,20131231,2
1,20140101,2
1,20140102,2
4008,20131219,1
4008,20131231,1
4008,20140101,1
4008,20140102,1
3,20131222,2
4,20131222,2
3,20131229,2
4,20131229,2
4025,20131222,1
4025,20131229,1
3,20131221,2
5,20131221,2
3,20140104,2
5,20140104,2
4029,20131221,1
4029,20140104,1
1,20131227,2
2,20131227,2
4034,20131227,1
1,20131226,2
4035,20131226,1
1,20131225,2
4036,20131225,1
1,20131224,2
4037,20131224,1
3,20131228,2
5,20131228,2
4039,20131228,1
